PlateNumber,Well,Signal,
1,A01,30500,
1,A01,N/A,
1,A02,30400,
1,A02,N/A,
1,A03,31000,
1,A03,N/A,
1,A04,32000,
1,A04,N/A,
1,A05,32000,
1,A05,N/A,
1,A06,32000,
1,A06,N/A,
1,A07,32000,
1,A07,N/A,
1,A08,33000,
1,A08,N/A,
1,A09,32000,
1,A09,N/A,
1,A10,33000,
1,A10,N/A,
1,A11,33000,
1,A11,N/A,
1,A12,35000,
1,A12,N/A,
1,A13,33000,
1,A13,N/A,
1,A14,33000,
1,A14,N/A,
1,A15,34000,
1,A15,N/A,
1,A16,32000,
1,A16,N/A,
1,A17,33000,
1,A17,N/A,
1,A18,32000,
1,A18,N/A,
1,A19,30000,
1,A19,N/A,
1,A20,32000,
1,A20,N/A,
1,A21,31000,
1,A21,N/A,
1,A22,32000,
1,A22,N/A,
1,A23,32000,
1,A23,N/A,
1,A24,34000,
1,A24,N/A,
1,B01,32000,
1,B01,N/A,
1,B02,2000,
1,B02,N/A,
1,B03,2100,
1,B03,N/A,
1,B04,2200,
1,B04,N/A,
1,B05,13000,
1,B05,N/A,
1,B06,12000,
1,B06,N/A,
1,B07,14000,
1,B07,N/A,
1,B08,300,
1,B08,N/A,
1,B09,300,
1,B09,N/A,
1,B10,400,
1,B10,N/A,
1,B11,1900,
1,B11,N/A,
1,B12,2000,
1,B12,N/A,
1,B13,2200,
1,B13,N/A,
1,B14,1800,
1,B14,N/A,
1,B15,1600,
1,B15,N/A,
1,B16,1500,
1,B16,N/A,
1,B17,1400,
1,B17,N/A,
1,B18,1300,
1,B18,N/A,
1,B19,1400,
1,B19,N/A,
1,B20,1100,
1,B20,N/A,
1,B21,1000,
1,B21,N/A,
1,B22,900,
1,B22,N/A,
1,B23,32000,
1,B23,N/A,
1,B24,33000,
1,B24,N/A,
1,C01,17000,
1,C01,N/A,
1,C02,15000,
1,C02,N/A,
1,C03,14000,
1,C03,N/A,
1,C04,17000,
1,C04,N/A,
1,C05,18000,
1,C05,N/A,
1,C06,19000,
1,C06,N/A,
1,C07,20000,
1,C07,N/A,
1,C08,29000,
1,C08,N/A,
1,C09,28000,
1,C09,N/A,
1,C10,31000,
1,C10,N/A,
1,C11,20000,
1,C11,N/A,
1,C12,17000,
1,C12,N/A,
1,C13,16000,
1,C13,N/A,
1,C14,10000,
1,C14,N/A,
1,C15,11000,
1,C15,N/A,
1,C16,9000,
1,C16,N/A,
1,C17,8000,
1,C17,N/A,
1,C18,7800,
1,C18,N/A,
1,C19,7400,
1,C19,N/A,
1,C20,7200,
1,C20,N/A,
1,C21,7100,
1,C21,N/A,
1,C22,7400,
1,C22,N/A,
1,C23,33000,
1,C23,N/A,
1,C24,37000,
1,C24,N/A,
1,D01,37000,
1,D01,N/A,
1,D02,24000,
1,D02,N/A,
1,D03,24000,
1,D03,N/A,
1,D04,25000,
1,D04,N/A,
1,D05,26000,
1,D05,N/A,
1,D06,24000,
1,D06,N/A,
1,D07,26000,
1,D07,N/A,
1,D08,11000,
1,D08,N/A,
1,D09,9000,
1,D09,N/A,
1,D10,10000,
1,D10,N/A,
1,D11,17000,
1,D11,N/A,
1,D12,14000,
1,D12,N/A,
1,D13,18000,
1,D13,N/A,
1,D14,10000,
1,D14,N/A,
1,D15,9000,
1,D15,N/A,
1,D16,10400,
1,D16,N/A,
1,D17,9900,
1,D17,N/A,
1,D18,9700,
1,D18,N/A,
1,D19,10300,
1,D19,N/A,
1,D20,9600,
1,D20,N/A,
1,D21,9500,
1,D21,N/A,
1,D22,8700,
1,D22,N/A,
1,D23,37000,
1,D23,N/A,
1,D24,37000,
1,D24,N/A,
1,E01,33000,
1,E01,N/A,
1,E02,28000,
1,E02,N/A,
1,E03,29000,
1,E03,N/A,
1,E04,26000,
1,E04,N/A,
1,E05,29000,
1,E05,N/A,
1,E06,29000,
1,E06,N/A,
1,E07,30000,
1,E07,N/A,
1,E08,24000,
1,E08,N/A,
1,E09,24000,
1,E09,N/A,
1,E10,25000,
1,E10,N/A,
1,E11,21000,
1,E11,N/A,
1,E12,21200,
1,E12,N/A,
1,E13,21300,
1,E13,N/A,
1,E14,19100,
1,E14,N/A,
1,E15,19000,
1,E15,N/A,
1,E16,18500,
1,E16,N/A,
1,E17,16000,
1,E17,N/A,
1,E18,14000,
1,E18,N/A,
1,E19,14000,
1,E19,N/A,
1,E20,11000,
1,E20,N/A,
1,E21,11500,
1,E21,N/A,
1,E22,11000,
1,E22,N/A,
1,E23,30000,
1,E23,N/A,
1,E24,33000,
1,E24,N/A,
1,F01,32000,
1,F01,N/A,
1,F02,30000,
1,F02,N/A,
1,F03,30000,
1,F03,N/A,
1,F04,30000,
1,F04,N/A,
1,F05,220,
1,F05,N/A,
1,F06,220,
1,F06,N/A,
1,F07,200,
1,F07,N/A,
1,F08,30000,
1,F08,N/A,
1,F09,31000,
1,F09,N/A,
1,F10,32000,
1,F10,N/A,
1,F11,30000,
1,F11,N/A,
1,F12,30000,
1,F12,N/A,
1,F13,31000,
1,F13,N/A,
1,F14,27000,
1,F14,N/A,
1,F15,30000,
1,F15,N/A,
1,F16,31000,
1,F16,N/A,
1,F17,31000,
1,F17,N/A,
1,F18,29000,
1,F18,N/A,
1,F19,28000,
1,F19,N/A,
1,F20,28000,
1,F20,N/A,
1,F21,27000,
1,F21,N/A,
1,F22,28000,
1,F22,N/A,
1,F23,29000,
1,F23,N/A,
1,F24,31000,
1,F24,N/A,